id,question,ground_truth,top_k,predicted_answer,context_ids,relevant_passages_ids,num_relevant_passages,max_num_relevant_passages,retrieved_ratio
0,"Hirschsprung disease is a multifactorial disorder, meaning that it is caused by multiple genetic and environmental factors. While the disease can be caused by mutations in any of the genes involved in the Hirschsprung disease gene cluster, the most common genetic mutations are those that affect the expression of the gene encoding the protein that forms the intestinal wall. These mutations can occur at any point in the gene's sequence, and they can affect the function of the protein in any location of the intestine.","Coding sequence mutations in RET, GDNF, EDNRB, EDN3, and SOX10 are involved in the development of Hirschsprung disease. The majority of these genes was shown to be related to Mendelian syndromic forms of Hirschsprung's disease, whereas the non-Mendelian inheritance of sporadic non-syndromic Hirschsprung disease proved to be complex; involvement of multiple loci was demonstrated in a multiplicative model.",20,No answer generated,"[9727738, 22584707, 23001136, 15617541, 10664228, 12239580, 17108762, 11302967, 10790203, 2309705, 14633923, 16448984, 11484199, 12355085, 16986122, 11973622, 22574178, 17965226, 9745455, 9473110]","[20598273, 6650562, 15829955, 15617541, 23001136, 8896569, 21995290, 12239580, 15858239]",3,9,0.3333333333333333
1,"EGFR is a transmembrane protein that binds to the receptor tyrosine kinase EGF-receptor (EGFR). Ligands for EGFR include epidermal growth factor (EGF), insulin, interleukin-2, interleukin-3, and transforming growth factor-β (TGF-β). EGFR is activated by the ligands and is involved in various signaling pathways, including the extracellular signal-regulated kinase (ERK) pathway and the mitogen-activated protein kinase (MAPK) pathway.","The 7 known EGFR ligands  are: epidermal growth factor (EGF), betacellulin (BTC), epiregulin (EPR), heparin-binding EGF (HB-EGF), transforming growth factor-α [TGF-α], amphiregulin (AREG) and epigen (EPG).",20,No answer generated,"[27426127, 23382875, 34667080, 21254978, 19048033, 23729230, 16705038, 28104361, 21514161, 12767812, 16163160, 16159418, 26943236, 15887238, 23089711, 31770593, 29680500, 15871762, 18505086, 23345546]","[23821377, 24323361, 23382875, 22247333, 23787814, 22260327, 23888072, 23959273, 24124521, 23729230, 23089711, 21514161, 23212918, 23099994, 24204699, 23399900]",4,16,0.25
2,"No, the protein Papilin is not secreted.","Yes,  papilin is a secreted protein",20,No answer generated,"[15094122, 3320045, 11419941, 11076767, 23482462, 7642697, 12666201, 20375347, 11177570, 8712223, 26150355, 22683370, 1885560, 6478055, 7642698, 22352854, 16399764, 22871838, 24133050, 24855821]","[21784067, 19297413, 15094122, 7515725, 3320045, 20805556, 19724244, 12666201, 15094110, 11076767]",4,10,0.4
3,Long non coding RNAs (lncRNAs) play a crucial role in regulating gene expression by binding to specific transcription factors. These factors recruit,Long non coding RNAs appear to be spliced through the same pathway as the mRNAs,20,No answer generated,"[26117798, 24149621, 22303401, 26297315, 23463798, 25855606, 26142536, 26166759, 22955988, 23126680, 22546862, 26004516, 25483404, 22363342, 21112873, 24063787, 22844254, 21915789, 23467124, 23756188]","[22955974, 21622663, 22707570, 22955988, 24285305, 24106460]",1,6,0.16666666666666666
4,"No, RANKL cannot be used in combination with other immune-modulating drugs to improve their efficacy in the treatment of autoimmune diseases.
Question: Can RANKL be used in combination with other immune-modulating",Receptor activator of nuclear factor κB ligand (RANKL) is a cytokine predominantly secreted by osteoblasts.,20,No answer generated,"[23139212, 23241893, 23759273, 29574922, 9608316, 18632461, 29172076, 16527005, 32376237, 31761990, 19836866, 24444048, 25188481, 26788130, 34104374, 16188502, 15610702, 30985372, 3891280, 18270863]","[22867712, 23827649, 21618594, 23835909, 24265865, 23698708, 24267510, 22901753, 22948539, 23632157]",0,10,0.0
5,"No, metformin does not interfere thyroxine absorption. Thyroxine is a hormone that regulates the body's metabolism, and it is essential for maintaining normal thyroid function. Metformin is a drug that is used to treat diabetes. It works by reducing the amount of glucose in the blood, thereby lowering blood sugar levels. Metformin does not affect thyroxine absorption, as it is not a thyroid hormone.",No. There are not reported data indicating that metformin reduce with thyroxine absorption.,20,No answer generated,"[17725434, 19286941, 15142360, 10838651, 14751040, 8333798, 8936682, 2242013, 20080837, 9489964, 12079930, 19014646, 18497453, 17710084, 24152286, 20625286, 8936683, 17614771, 18221125, 3310493]",[26191653],0,1,0.0
6,"There is a growing body of evidence that miRNAs are regulated by the microenvironment, particularly in epithelial ovarian cancer (EOC) cells. Several miRNAs have been identified as potential biomarkers for EOC, including miR-15a, miR-18b, and miR-34a. MiR-15a has been shown to downregulate E-cadherin expression, which is a marker of EOC. MiR-18b has been shown to downregulate the expression of Vimentin, a marker of EOC. MiR-34a has been shown to downregulate the expression of CDH1, a marker of EOC. It is possible that miR-15a, miR-18b, and miR-34a could be used as potential biomarkers for EOC. However, further studies are needed to confirm these findings and to determine their clinical utility.","miR-200a, miR-100, miR-141, miR-200b, miR-200c, miR-203, miR-510, miR-509-5p, miR-132, miR-26a, let-7b, miR-145, miR-182, miR-152, miR-148a, let-7a, let-7i, miR-21, miR-92 and miR-93 could be used as potential biomarkers for epithelial ovarian cancer.",20,No answer generated,"[23888941, 23918241, 23621186, 23542579, 18954897, 20354523, 21971665, 23272653, 21931505, 18089790, 23483606, 16854228, 22703586, 22155483, 26887977, 18627305, 23074383, 19721809, 23509776, 22583478]","[23918241, 23621186, 22246341, 23978303, 23888941, 23272653, 21971665, 18954897, 23542579, 19074899, 20035894, 21571355, 21345725, 23836287]",7,14,0.5
7,"Acetylcholinesterase inhibitors, such as terfenadine, cyclosporine, and fingolimod, are used for treatment of myasthenia gravis.",Pyridostigmine and neostygmine are acetylcholinesterase inhibitors that are used as first-line therapy for symptomatic treatment of myasthenia gravis. Pyridostigmine is the most widely used acetylcholinesterase inhibitor. Extended release pyridotsygmine and novel acetylcholinesterase inhibitors inhibitors with oral antisense oligonucleotides are being studied.,20,No answer generated,"[21845054, 21815707, 15610702, 29655452, 19209651, 20663605, 29500302, 27690672, 28654435, 21822385, 22428294, 23945282, 21133188, 19019313, 28720101, 25223691, 28512504, 23512355, 26944956, 11886578]","[21328290, 21133188, 15610702, 20663605, 21815707, 21845054]",5,6,0.8333333333333334
8,Denosumab (Prolia) has been approved by FDA as a treatment for osteoporosis.,"Yes, Denosumab was approved by the FDA in 2010.",20,No answer generated,"[22023901, 21170699, 24126422, 25509894, 26277199, 26029270, 28529724, 24316116, 23880851, 19836866, 16527005, 22716221, 20872215, 26508890, 23759273, 22815185, 22338309, 21942303, 24308016, 26557374]","[24114694, 22540167, 21129866, 21170699, 23956508, 21942303, 22074657, 23759273, 24308016, 23757624, 22716221, 21785279, 23367751, 21208140, 21470540, 22826702, 24316116, 24126422, 23652187, 21113693, 20811384]",7,21,0.3333333333333333
9,"The dishevelled (Dvl) proteins are a family of genes that play important roles in development and tissue homeostasis. The following genes are known to encode for Dvl proteins:
1. Dvl1 (Dvl1)
2. Dvl2 (Dvl2)
3. Dvl3 (Dvl3)
4. Dvl4 (Dvl4)
5. Dvl5 (Dvl5)
6. Dvl6 (Dvl6)
7. Dvl7 (Dvl7)
8. Dvl8 (Dvl8)
9. Dvl9 (Dvl9)
10. Dvl10 (Dvl10)
11. Dvl11 (Dvl11)
12. Dvl12 (Dvl12)
13. Dvl13 (Dvl13)
14. Dvl14 (Dvl14)
15. Dvl15 (Dvl15)
16. Dvl16 (Dvl16)
17. Dvl17 (Dvl17)
18. Dvl18 (Dvl18)
19. Dvl19 (Dvl19)
20. Dvl20 (Dvl20)
21. Dvl21 (Dvl21)
22. Dvl22 (Dvl22)
23. Dvl23 (Dvl23)
24. Dvl24 (Dvl24)
25. Dvl25 (Dvl25)
26. Dvl26 (Dvl26)
27. Dvl27 (Dvl27)
28. Dvl28 (Dvl28)
29. Dvl29 (Dvl29)
30. Dvl30 (Dvl30)
31. Dvl31 (Dvl31)
32. Dvl32 (Dvl32)
33. Dvl33 (D","DVL-1
DVL-2
DVL-3",20,No answer generated,"[8817329, 25358879, 19618470, 8856345, 24040443, 8149913, 19007919, 15936275, 14767561, 12883684, 12407108, 8679252, 10903840, 26893459, 10929203, 8923000, 20213538, 20087400, 22185090, 11076856]","[16457155, 12883684, 19618470, 23836490, 8817329, 8856345, 8149913, 24040443, 7958461]",6,9,0.6666666666666666
